0.2	2.83E+00	1.37E+00	1.46E+00
0.25	2.97E+00	1.48E+00	1.49E+00
0.275	2.95E+00	1.53E+00	1.43E+00
0.3	2.67E+00	1.56E+00	1.11E+00
0.31	2.08E+00	1.39E+00	6.86E-01
0.32	1.38E+00	9.68E-01	4.13E-01
0.33	2.24E+00	5.51E-01	1.69E+00
0.34	3.08E+00	7.58E-01	2.32E+00
0.35	4.50E+00	1.26E+00	3.24E+00
0.36	4.77E+00	1.08E+00	3.70E+00
0.37	4.86E+00	7.42E-01	4.11E+00
0.38	5.56E+00	5.46E-01	5.01E+00
0.39	5.91E+00	5.43E-01	5.37E+00
0.4	5.86E+00	4.99E-01	5.36E+00
0.425	4.44E+00	2.89E-01	4.15E+00
0.45	3.85E+00	1.90E-01	3.66E+00
0.475	3.72E+00	1.77E-01	3.54E+00
0.5	3.79E+00	1.67E-01	3.63E+00
0.525	3.88E+00	1.64E-01	3.71E+00
0.55	3.96E+00	1.45E-01	3.81E+00
0.575	3.99E+00	1.62E-01	3.82E+00
0.6	3.96E+00	1.54E-01	3.80E+00
0.625	3.86E+00	1.61E-01	3.70E+00
0.65	3.66E+00	1.55E-01	3.51E+00
0.675	3.41E+00	1.38E-01	3.27E+00
0.7	3.13E+00	9.83E-02	3.03E+00
