0.3	3.20E+00	1.44E+00	1.76E+00
0.4	3.34E+00	1.60E+00	1.74E+00
0.45	3.31E+00	1.62E+00	1.70E+00
0.475	3.33E+00	1.67E+00	1.66E+00
0.5	3.57E+00	1.71E+00	1.86E+00
0.525	4.07E+00	1.41E+00	2.66E+00
0.55	4.26E+00	9.58E-01	3.30E+00
0.575	4.45E+00	6.76E-01	3.78E+00
0.6	4.52E+00	5.07E-01	4.01E+00
0.625	4.44E+00	3.94E-01	4.04E+00
0.65	4.24E+00	3.16E-01	3.92E+00
0.675	3.94E+00	2.33E-01	3.71E+00
0.7	3.60E+00	2.31E-01	3.37E+00
0.75	2.88E+00	2.13E-01	2.66E+00
0.8	2.25E+00	1.83E-01	2.06E+00
0.9	1.34E+00	1.20E-01	1.22E+00
