0.2	2.45E+00	1.03E+00	1.4199				
0.3	2.67E+00	1.06E+00	1.6136				
0.4	2.82E+00	1.13E+00	1.6918				
0.45	2.89E+00	1.18E+00	1.7101				
0.475	2.91E+00	1.20E+00	1.7125				
0.5	3.02E+00	1.17E+00	1.8528				
0.51	3.12E+00	1.12E+00	2.0022				
0.52	3.23E+00	1.05E+00	2.1855				
0.53	3.31E+00	9.82E-01	2.33004				
0.54	3.37E+00	9.19E-01	2.44723				
0.545	3.46E+00	8.50E-01	2.61E+00				
0.55	3.59E+00	7.86E-01	2.8077				
0.56	3.54E+00	7.06E-01	2.83229				
0.57	3.48E+00	6.31E-01	2.85139				
0.58	3.43E+00	5.56E-01	2.87112				
0.59	3.37E+00	4.91E-01	2.87872				
0.6	3.32E+00	4.51E-01	2.87359				
0.625	3.28E+00	3.75E-01	2.90461				
0.65	3.28E+00	3.27E-01	2.94805				
0.7	3.16E+00	3.04E-01	2.8605				
0.8	3.06E+00	2.76E-01	2.77903				
							
							
